station_name,date,hour,population
ikebukuro,2024/12/2,13,NA
ikebukuro,2024/12/2,14,NA
ikebukuro,2024/12/2,15,NA
ikebukuro,2024/12/2,16,NA
ikebukuro,2024/12/2,17,NA
ikebukuro,2024/12/2,18,NA
ikebukuro,2024/12/2,19,NA
ikebukuro,2024/12/2,20,NA
ikebukuro,2024/12/2,21,NA
ikebukuro,2024/12/2,22,19371
ikebukuro,2024/12/2,23,13200
ikebukuro,2024/12/2,24,7714
ikebukuro,2024/12/3,1,5314
ikebukuro,2024/12/3,2,4971
ikebukuro,2024/12/3,3,4629
ikebukuro,2024/12/3,4,4971
ikebukuro,2024/12/3,5,5314
ikebukuro,2024/12/3,6,7371
ikebukuro,2024/12/3,7,14571
ikebukuro,2024/12/3,8,23143
ikebukuro,2024/12/3,9,22800
ikebukuro,2024/12/3,10,24857
ikebukuro,2024/12/3,11,27600
ikebukuro,2024/12/3,12,32743
ikebukuro,2024/12/3,13,34800
ikebukuro,2024/12/3,14,33771
ikebukuro,2024/12/3,15,34800
ikebukuro,2024/12/3,16,36857
ikebukuro,2024/12/3,17,40286
ikebukuro,2024/12/3,18,43714
ikebukuro,2024/12/3,19,41314
ikebukuro,2024/12/3,20,34114
ikebukuro,2024/12/3,21,27600
ikebukuro,2024/12/3,22,20743
ikebukuro,2024/12/3,23,13543
ikebukuro,2024/12/3,24,7714
ikebukuro,2024/12/4,1,5314
ikebukuro,2024/12/4,2,NA
ikebukuro,2024/12/4,3,NA
ikebukuro,2024/12/4,4,NA
ikebukuro,2024/12/4,5,NA
ikebukuro,2024/12/4,6,NA
ikebukuro,2024/12/4,7,NA
ikebukuro,2024/12/4,8,NA
ikebukuro,2024/12/4,9,NA
ikebukuro,2024/12/4,10,NA
ikebukuro,2024/12/4,11,NA
ikebukuro,2024/12/4,12,NA
ikebukuro,2024/12/4,13,NA
ikebukuro,2024/12/4,14,NA
ikebukuro,2024/12/4,15,NA
ikebukuro,2024/12/4,16,NA
ikebukuro,2024/12/4,17,NA
ikebukuro,2024/12/4,18,NA
ikebukuro,2024/12/4,19,NA
ikebukuro,2024/12/4,20,NA
ikebukuro,2024/12/4,21,NA
ikebukuro,2024/12/4,22,NA
ikebukuro,2024/12/4,23,NA
ikebukuro,2024/12/5,0,NA
ikebukuro,2024/12/5,1,NA
ikebukuro,2024/12/5,2,NA
ikebukuro,2024/12/5,3,NA
ikebukuro,2024/12/5,4,NA
ikebukuro,2024/12/5,5,NA
ikebukuro,2024/12/5,6,NA
ikebukuro,2024/12/5,7,NA
ikebukuro,2024/12/5,8,NA
ikebukuro,2024/12/5,9,NA
ikebukuro,2024/12/5,10,NA
ikebukuro,2024/12/5,11,NA
ikebukuro,2024/12/5,12,NA
ikebukuro,2024/12/5,13,NA
ikebukuro,2024/12/5,14,NA
ikebukuro,2024/12/5,15,NA
ikebukuro,2024/12/5,16,NA
ikebukuro,2024/12/5,17,NA
ikebukuro,2024/12/5,18,NA
ikebukuro,2024/12/5,19,NA
ikebukuro,2024/12/5,20,NA
ikebukuro,2024/12/5,21,NA
ikebukuro,2024/12/5,22,NA
ikebukuro,2024/12/5,23,NA
ikebukuro,2024/12/6,0,NA
ikebukuro,2024/12/6,1,NA
ikebukuro,2024/12/6,2,NA
ikebukuro,2024/12/6,3,NA
ikebukuro,2024/12/6,4,NA
ikebukuro,2024/12/6,5,NA
ikebukuro,2024/12/6,6,NA
ikebukuro,2024/12/6,7,NA
ikebukuro,2024/12/6,8,NA
ikebukuro,2024/12/6,9,NA
ikebukuro,2024/12/6,10,NA
ikebukuro,2024/12/6,11,NA
ikebukuro,2024/12/6,12,NA
ikebukuro,2024/12/6,13,NA
ikebukuro,2024/12/6,14,NA
ikebukuro,2024/12/6,15,NA
ikebukuro,2024/12/6,16,NA
ikebukuro,2024/12/6,17,NA
ikebukuro,2024/12/6,18,NA
ikebukuro,2024/12/6,19,NA
ikebukuro,2024/12/6,20,NA
ikebukuro,2024/12/6,21,NA
ikebukuro,2024/12/6,22,NA
ikebukuro,2024/12/6,23,NA
ikebukuro,2024/12/7,0,NA
ikebukuro,2024/12/7,1,NA
ikebukuro,2024/12/7,2,NA
ikebukuro,2024/12/7,3,NA
ikebukuro,2024/12/7,4,NA
ikebukuro,2024/12/7,5,NA
ikebukuro,2024/12/7,6,NA
ikebukuro,2024/12/7,7,NA
ikebukuro,2024/12/7,8,NA
ikebukuro,2024/12/7,9,NA
