metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,model,r2_mean,r2_std
,,,hourly_ikebukuro,,13.0,2502.8950988829138,833.0220172842425,2701.839575340743,837.3350695887597,6.61921674361726,2.2096100097631273,,,
,,,hourly_ikebukuro,,14.0,737.4872568488121,212.46555651181595,908.2457253320915,235.1632854534083,2.015801275122642,0.5814305160139392,,,
,,,hourly_ikebukuro,,15.0,759.8276986896992,252.5543914039692,894.2616163210589,299.60594004769007,2.028345545339637,0.6775163214404994,,,
,,,hourly_ikebukuro,,16.0,960.0401609241962,396.8521509865528,1065.7123625493828,406.5207948814417,2.4790832252747363,1.0222282982098911,,,
,,,hourly_ikebukuro,,17.0,911.86336119771,280.43286486981475,1071.457137545085,297.04366681598634,2.1207429264115865,0.6479788529313694,,,
,,,hourly_ikebukuro,,18.0,2483.4448924005032,806.0519153408641,3003.989734193538,814.0526806339903,5.161289160314628,1.6631684236225053,,,
,,,hourly_ikebukuro,,19.0,2562.560128682852,664.9885574644247,2984.0117467936457,648.6535023901466,5.427454215071353,1.410861493638969,,,
,,,hourly_ikebukuro,,20.0,1424.768226134777,450.05765320988274,1644.6930108373206,462.8484745161217,3.478945238448998,1.1327646407709981,,,
,,,hourly_ikebukuro,,21.0,2026.2751401335001,332.1845691134273,2301.4607666791276,373.32959488617155,6.14362301349162,1.0191586577678855,,,
,,,hourly_ikebukuro,,22.0,1314.7509089767932,236.0225877333647,1527.3098024947387,326.32639243247837,5.971203755780677,0.9854092467784917,,,
,,,hourly_ikebukuro,,23.0,656.27504251798,142.95368238495823,771.759990821911,133.13792222800177,4.699686366709115,0.9483396931256407,,,
,,,hourly_nihonbashi,,0.0,422.981455298358,106.44360366237512,482.89510203585405,112.13873760001937,24.095629900346964,6.718224769288781,,,
,,,hourly_nihonbashi,,1.0,330.1677029584845,126.66517907074454,373.6214418448273,136.01467601771606,25.19315725188979,9.644667669294112,,,
,,,hourly_nihonbashi,,2.0,347.18772981412087,82.19542890737708,408.9082336437883,107.95294276864155,20.246076082281235,4.736369253744987,,,
,,,hourly_nihonbashi,,3.0,267.84898501671853,126.64018741758466,303.55833420523254,133.70541091750985,16.207437712892805,7.772409675288389,,,
,,,hourly_nihonbashi,,4.0,490.5015949916715,202.1929736096901,564.798345718106,220.56197360621954,30.884483691179604,13.269060975933058,,,
,,,hourly_nihonbashi,,5.0,544.4238691426814,203.75523439412703,625.7835969123838,212.05294770450791,28.22311458995493,10.562739171712298,,,
,,,hourly_nihonbashi,,6.0,533.5187898134192,342.8471916768647,606.8208416819124,401.9339877942729,14.298837422893598,9.336340959062282,,,
,,,hourly_nihonbashi,,7.0,1120.4721993823848,363.7279285834514,1302.633304724666,357.16152461913185,11.743916870654745,3.83470834082564,,,
,,,hourly_nihonbashi,,8.0,3227.5967252572377,381.4427498794621,4535.62412508538,434.0047494296832,13.248215951360583,1.6094750506973272,,,
,,,hourly_nihonbashi,,9.0,3613.243601568539,232.85341979271863,5591.104412760879,281.84470819103905,8.757913184798102,0.5707678612836442,,,
,,,hourly_nihonbashi,,10.0,1436.2529388030368,324.0964246428651,1893.0494635970226,468.92800982079405,2.955315026541291,0.6694637536585365,,,
,,,hourly_nihonbashi,,11.0,734.3004327853521,413.96795614228,836.560708700478,476.73835482709086,1.4147617728687114,0.7961596867015414,,,
,,,hourly_nihonbashi,,12.0,701.308161354065,284.1119090207566,839.8656761950062,284.52057913325945,1.3211326693390295,0.534355821262782,,,
,,,hourly_nihonbashi,,13.0,723.0519083797932,291.97172902841135,863.0191710102256,329.8304039584453,1.3480970117957654,0.542990323214391,,,
,,,hourly_nihonbashi,,14.0,714.3564705491066,333.99527982579036,813.0460472262118,336.6367709583847,1.3339287969904179,0.6240261955475347,,,
,,,hourly_nihonbashi,,15.0,799.4930648446083,410.3779625221364,891.4219109942412,398.72310362189603,1.5133251126361862,0.7749686084881917,,,
,,,hourly_nihonbashi,,16.0,947.1880569875241,353.26180453276095,1090.3571218705667,342.3229878662512,1.8457413309750197,0.6880002819386541,,,
,,,hourly_nihonbashi,,17.0,1176.8958578586578,429.44419130931567,1384.1535845340684,499.7106287934296,2.4432700374729093,0.8866242418816855,,,
,,,hourly_nihonbashi,,18.0,1111.1618201971055,501.23228842003357,1295.5343669178178,507.76019124249854,2.681214920741845,1.2075402789866614,,,
,,,hourly_nihonbashi,,19.0,766.6882463783026,363.74746269126155,924.2138800888636,354.69351663744897,2.399035009096231,1.1260038638266925,,,
,,,hourly_nihonbashi,,20.0,796.7770647019154,241.11952765271718,941.3411130246992,236.89623413753785,3.4861456075379254,1.059559612684064,,,
,,,hourly_nihonbashi,,21.0,887.7969313770533,302.4352323396514,1074.4858018808402,294.84488612310264,5.52653550515648,1.8406182960773385,,,
,,,hourly_nihonbashi,,22.0,740.2251652047041,323.1884547822742,864.9175046322893,381.946031266451,8.480410461582267,3.6927589584367686,,,
,,,hourly_nihonbashi,,23.0,378.5714852387706,157.1421251481642,432.7355104871196,157.55371238721847,9.675520037432097,3.9043298033318483,,,
,,,hourly_shibuya,,0.0,857.6718672921259,305.3062051351065,890.4725661889406,287.78977699256257,28.01315515284002,9.958681408199332,,,
,,,hourly_shibuya,,1.0,450.662528616935,201.60075771231078,482.1976477431173,207.36933582833686,20.75829262846319,9.286078289125356,,,
,,,hourly_shibuya,,2.0,384.1894477138916,113.76558516268803,445.6035553661177,132.26938804305374,16.441974650538832,4.746390831913228,,,
,,,hourly_shibuya,,3.0,367.9872849766165,147.0735239651338,390.4540809888284,156.42440620101286,15.332803814800366,6.128063608100024,,,
,,,hourly_shibuya,,4.0,345.0759689600517,143.09922895986415,369.5639379613493,136.41500388954148,14.378165630377216,5.962467979920066,,,
,,,hourly_shibuya,,5.0,351.42942807426056,189.52209965310928,383.91956718255693,180.34543649658428,14.281925343252485,7.777700939832752,,,
,,,hourly_shibuya,,6.0,284.718321201702,178.19939266705424,322.3180024289853,181.9312946169786,9.43206697762839,5.873724114520377,,,
,,,hourly_shibuya,,7.0,500.8140731265147,145.21655198702854,614.0707514861741,155.03809035367615,8.904155692640552,2.546966362717397,,,
,,,hourly_shibuya,,8.0,1157.1523052791754,196.13963460968657,1499.5158753672195,194.13366838939254,10.65812223345296,1.806573076817652,,,
,,,hourly_shibuya,,9.0,1151.8150276164208,260.94294622977867,1425.28244383505,273.388961679183,6.761923407445981,1.512899387254524,,,
