metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
mae,1036.2866924180864,76.52808881210342,overall,,,,,,,,
rmse,1440.8092042574874,83.42031389568353,overall,,,,,,,,
mape,8.532472731651575,1.308130242633321,overall,,,,,,,,
r2,0.9935582502012918,0.0007365710189617744,overall,,,,,,,,
mae,1470.4604831975455,110.44579713167728,per_station,ikebukuro,,,,,,,
rmse,1959.0362177349566,136.30608469591272,per_station,ikebukuro,,,,,,,
mape,7.168871325782232,0.8796581084463961,per_station,ikebukuro,,,,,,,
r2,0.9814817296415456,0.0025643146045494438,per_station,ikebukuro,,,,,,,
mae,848.8348829836241,132.98010127579474,per_station,nihonbashi,,,,,,,
rmse,1178.7014055282873,145.55037864608434,per_station,nihonbashi,,,,,,,
mape,11.23488005644295,1.9418862553884195,per_station,nihonbashi,,,,,,,
r2,0.9968413056385659,0.0007511904629653595,per_station,nihonbashi,,,,,,,
mae,720.515945017633,89.19283756418051,per_station,shibuya,,,,,,,
rmse,948.8723891147959,116.36313834795655,per_station,shibuya,,,,,,,
mape,7.490547201668846,1.5889441500481083,per_station,shibuya,,,,,,,
r2,0.9945116058562002,0.0013988104448343875,per_station,shibuya,,,,,,,
mae,1105.3354584735425,99.90374197493117,per_station,shinjuku,,,,,,,
rmse,1461.029412837866,144.05642721126458,per_station,shinjuku,,,,,,,
mape,8.235592342712279,1.558043387005079,per_station,shinjuku,,,,,,,
r2,0.9946548971279618,0.0010106586556914618,per_station,shinjuku,,,,,,,
,,,global_hourly,,7.0,1009.7242014076561,387.6933178956679,1309.0087303060395,502.42231714521927,10.05816942083317,3.8762576527669093
,,,global_hourly,,8.0,1859.4188042876128,287.0294991497454,2374.6168500311314,366.76077788397123,8.759854122085066,1.5274956237219035
,,,global_hourly,,9.0,1287.3442989742757,265.43800254032146,1869.6165432519756,325.9844890380955,4.770552340960747,1.121209258208877
,,,global_hourly,,10.0,1299.7731436514862,155.47238911358141,1615.4148420487775,157.8109645619672,4.149476626669764,0.5421458432226499
,,,global_hourly,,11.0,804.3946431750062,161.46888242160057,1022.3402627663545,219.16169285079138,2.231415534586045,0.4303047832407354
,,,global_hourly,,12.0,1816.2390598326915,340.513295159412,2189.6807278066785,372.33943466550426,4.519663662738369,0.8301678145733163
,,,global_hourly,,13.0,1472.749166847467,333.8182018523335,1831.4513730944284,377.723006277512,3.6076152585395453,0.8040257906210504
,,,global_hourly,,14.0,791.5452349996565,145.96892355840603,1016.1054284772806,170.91643287632496,1.9229569616772317,0.32739738399086804
,,,global_hourly,,15.0,886.9625891256331,238.24569470569753,1087.4474912733413,291.26793248766467,2.077879675277811,0.5281471764052577
,,,global_hourly,,16.0,1058.7196170806883,303.71849258021217,1257.8527862501842,350.37976977376997,2.451387443539141,0.7130383131445823
,,,global_hourly,,17.0,1042.1676755332944,272.35394050003634,1249.6720824195877,299.7282461805369,2.3404962090845456,0.6103788591337876
,,,global_hourly,,18.0,1912.7177772355076,398.4519929278824,2437.349851725195,420.12951646114243,4.185649273033521,0.8767100288700759
,,,global_hourly,,19.0,1249.85017483294,272.94891402729826,1641.2961696157865,330.14245987478284,3.168089767988893,0.6705077740838661
,,,global_hourly,,20.0,1071.4320607954264,179.56924376606128,1331.4031827211188,189.6952753267778,3.4242695190829986,0.651726319278329
,,,global_hourly,,21.0,980.2440676480534,287.79935159267364,1212.0552629960355,329.13094490957224,4.079110886830056,1.2180985335334398
,,,global_hourly,,22.0,860.328376571536,185.69833767827544,1048.5779476794098,210.18555703798205,6.268268755749338,1.3057777745079584
,,,global_hourly,,23.0,783.6290504660459,188.1897613208695,965.3417588822433,219.82982150632526,12.283478025605614,3.0996536785018405
,,,hourly_ikebukuro,,0.0,1156.7602623037997,323.44126850534155,1310.1164853541413,341.1196876712542,14.670678053921517,4.092898421676054
,,,hourly_ikebukuro,,1.0,509.8882606141269,259.5272416990516,663.0321025624609,334.5993821060681,9.502010023315881,4.8594788202634565
,,,hourly_ikebukuro,,2.0,416.07256175130607,151.02999491545194,488.3563510003016,201.25086617093686,7.88346907643345,2.9799799087967105
,,,hourly_ikebukuro,,3.0,543.5596643272787,166.54802180999994,671.0299894718745,247.4232944162695,10.86697673404463,3.6836118643944427
,,,hourly_ikebukuro,,4.0,487.2539488438517,175.31382652350823,580.1390207199627,225.19981938006993,9.669274174616877,3.5207384470074654
,,,hourly_ikebukuro,,5.0,603.7737803135068,208.10953398531836,756.3602717065203,255.76156122924482,11.104060455483623,3.841974863086194
,,,hourly_ikebukuro,,6.0,1305.5561679221696,402.20324073522704,1403.1573318228016,401.7176925629938,17.923782729410917,5.543996085413495
,,,hourly_ikebukuro,,7.0,931.5743022099138,338.4776276956549,1156.4976530359686,402.0528743640295,6.683914749676083,2.4280437622064097
,,,hourly_ikebukuro,,8.0,3408.357255282402,805.6910439425269,3533.8107516332334,776.6491258807004,14.71273351971443,3.475917467589426
,,,hourly_ikebukuro,,9.0,2027.5201779127128,470.303240899435,2307.6257024958113,558.8255763772161,8.844718713585133,2.03654845465708
,,,hourly_ikebukuro,,10.0,2139.4455499887495,320.4638872254415,2392.9252801752386,270.6881260919321,8.349458658463538,1.2515333665675286
,,,hourly_ikebukuro,,11.0,899.7842235398293,278.13647533066217,1182.6268693511397,294.8681711894737,3.0670575672144906,0.9434432789772742
,,,hourly_ikebukuro,,12.0,2937.09240579128,563.3146638560714,3113.6621270876485,593.7655920938665,8.368368721151294,1.5939652538187874
,,,hourly_ikebukuro,,13.0,2689.196723713875,725.2877235802795,2917.6187295119566,761.5464358285157,7.138985885839493,1.9155466860345085
,,,hourly_ikebukuro,,14.0,1012.2303804302215,222.6120009315958,1334.228478652813,285.46929844784256,2.7680429744534507,0.6008991172637568
,,,hourly_ikebukuro,,15.0,1044.033702955246,350.4719465636885,1292.0570435009727,369.46730826807124,2.793882469214089,0.9365455850555785
,,,hourly_ikebukuro,,16.0,1437.6083928775788,627.5571481298095,1589.4838431570147,596.0208026945949,3.7080967734436854,1.6144652165817048
,,,hourly_ikebukuro,,17.0,1249.4753815698625,508.7810106393479,1463.9619444949255,496.7728262592563,2.9000979973654033,1.174030219281176
,,,hourly_ikebukuro,,18.0,3080.3564731502534,601.247337952617,3541.2233331238276,472.63311468954436,6.395538217767545,1.2484768890368436
,,,hourly_ikebukuro,,19.0,1881.3466009140016,398.96805028550614,2344.6202485251915,496.2754524919999,3.9656923808798075,0.8321751199072909
,,,hourly_ikebukuro,,20.0,1371.3479975128173,334.8702652427448,1668.8196294758877,425.28029831087713,3.545777086699617,0.8901475659719742
,,,hourly_ikebukuro,,21.0,1250.1236503386494,318.16228849467126,1495.112505969736,382.2791154356098,3.8646563573722084,0.8991842165613319
,,,hourly_ikebukuro,,22.0,901.1050971245766,187.1631980268183,1060.9861793715868,188.29276341512977,4.150915279900342,0.8440985178078677
,,,hourly_ikebukuro,,23.0,689.559444068372,253.91521297804502,839.9557818276871,295.17582485101815,4.914485039723241,1.8303995277597294
,,,hourly_nihonbashi,,0.0,875.4956525782123,341.92578641476376,1086.986568470367,362.78895758219664,49.78634224877029,20.402892111409567
,,,hourly_nihonbashi,,1.0,412.83063246035016,161.19504468857195,479.53633684212775,187.54488814619214,30.05917941674914,10.949642319892929
,,,hourly_nihonbashi,,2.0,389.24988729683685,105.45193523378902,461.4059309729663,119.05374090093699,24.502642762220574,7.170655750769812
,,,hourly_nihonbashi,,3.0,488.38386545479295,202.92471651372435,602.1099363038372,232.75275738878233,30.707122166350434,13.023213863427323
,,,hourly_nihonbashi,,4.0,470.0692355485633,233.53628103797726,569.7469721935197,223.96358218506862,29.65405452198264,14.42186367336231
,,,hourly_nihonbashi,,5.0,581.9400921378285,289.6086896167354,657.4072127539165,306.9026612880733,30.167968077443824,15.013410867108174
,,,hourly_nihonbashi,,6.0,808.9208357106894,345.52585436067085,953.4101540106825,372.87527804062057,21.124921831765878,9.054720487165394
,,,hourly_nihonbashi,,7.0,1387.3905061215162,795.2739671579076,1695.1054153362743,872.8741503848543,14.676198710993887,8.404123752918132
,,,hourly_nihonbashi,,8.0,1525.2435869431497,633.3759526829923,1889.584962576074,602.2686921953364,6.41734256175438,2.702630494722178
,,,hourly_nihonbashi,,9.0,1736.8734475040437,480.55354434945593,2593.946873421945,672.77996632596,4.240792073594639,1.1730309946127204
,,,hourly_nihonbashi,,10.0,942.3439140367507,165.9266553389676,1085.7978987166196,161.23317070621925,1.9512582963582112,0.3437345054161698
,,,hourly_nihonbashi,,11.0,620.8228517818452,283.0965527482807,725.1304921530138,314.59580101742796,1.2086343770206556,0.5481050978599196
,,,hourly_nihonbashi,,12.0,832.0187854528427,206.179004767601,984.4613889221904,305.3790486230286,1.5739197083419565,0.390293161330272
,,,hourly_nihonbashi,,13.0,711.4062359523773,171.3316423226323,876.5645600603655,188.7505215984629,1.3281739191982074,0.3223850853136995
,,,hourly_nihonbashi,,14.0,627.7089638614655,305.60273121991185,719.1563838094493,316.0446594132052,1.1778194224746241,0.5759655409215592
,,,hourly_nihonbashi,,15.0,855.951869893074,369.96927028582076,973.6141681779566,393.23212946846485,1.6268490655837304,0.7037290621472079
,,,hourly_nihonbashi,,16.0,1052.1583813381196,359.13415236560235,1166.4769438428323,400.9651470854425,2.061891353449467,0.703767062572481
,,,hourly_nihonbashi,,17.0,964.5809936285019,228.48910425879302,1147.353774479478,265.13330516982916,2.006504392460127,0.4726960568973821
,,,hourly_nihonbashi,,18.0,848.6327212667466,293.2640195532481,1014.4393417726005,328.3700121986349,2.060953297280398,0.7020771505193426
,,,hourly_nihonbashi,,19.0,877.4112511968611,412.2839540317232,994.8737416096035,434.24060318413535,2.7627548111628335,1.2911116223268664
,,,hourly_nihonbashi,,20.0,705.6742724514012,417.92139376976144,816.509490009569,402.05414339419644,3.0723959235875054,1.8398671454894242
,,,hourly_nihonbashi,,21.0,725.1122449588776,337.63634814242016,828.751497734753,355.3651726873483,4.549015210817805,2.1613458865028923
,,,hourly_nihonbashi,,22.0,661.5870663106443,245.09925966962888,770.2855629378705,294.144356894525,8.26151485935991,2.807830765330935
,,,hourly_nihonbashi,,23.0,1031.4790622659027,283.9573057523648,1207.069593905892,383.2796932624166,25.714717739459605,7.2395334376143285
,,,hourly_shibuya,,0.0,714.5939881436527,320.4340497548592,892.9341872536166,399.8297383766841,23.604353770951704,10.593187691896864
,,,hourly_shibuya,,1.0,369.717544336617,210.4933299574124,436.85485138480715,232.19899504592127,16.764175348626026,9.502157732563031
,,,hourly_shibuya,,2.0,350.15993763078006,276.1306891653177,382.64129361498016,264.29871298799594,15.324881338382927,12.096466774384158
,,,hourly_shibuya,,3.0,341.3563370142132,207.6985639588049,375.3212783302171,204.69118750575043,14.22318096319658,8.654106986328303
,,,hourly_shibuya,,4.0,335.77026819847526,167.94013016965144,396.59210381230577,167.1785623945137,13.990428091713193,6.9975055488314695
,,,hourly_shibuya,,5.0,437.43706276752056,244.98149605468808,512.5285466468318,253.0052656077775,17.362480638836598,9.766757221509584
,,,hourly_shibuya,,6.0,557.4890757942572,220.06768947093784,665.0588154422727,233.0193676378899,18.078070846749775,7.024295412835099
